Section,Level,Question,Hint,Explanation,Solution
5.1,Easy,"What does it mean when light 'reflects' off an object?","Think about what happens when a ball bounces off a wall.","When light hits an object, it bounces back — this bouncing is called reflecting. The reflected light then travels to our eyes so we can see the object.","Light reflects means light bounces off an object."
5.1,Easy,"Can you see an object in a completely dark room? Why or why not?","Think about what your eyes need in order to see.","Our eyes need light to see. In a completely dark room there is no light to reflect off objects, so we cannot see anything.","No, because there is no light to reflect off the object into our eyes."
5.1,Easy,"What is a 'source of light'? Give two examples.","Think about things that make their own light.","A source of light is something that produces its own light. Examples include the Sun, a flashlight, a lamp, a candle, or a fire.","A source of light is something that gives out its own light. Examples: the Sun, a flashlight."
5.1,Easy,"How do we see things that are not sources of light?","Think about what happens to light when it hits an object like a book.","Objects that do not make their own light can still be seen because light from a source hits them and reflects off them into our eyes.","Light from a source travels to the object, reflects off it, and enters our eyes."
5.1,Easy,"In the box experiment, can you see the coin when the flashlight hole is covered? Why?","What happens when no light enters the box?","When you cover the flashlight hole, no light enters the box. Without light reflecting off the coin, there is nothing for your eyes to detect.","No, because no light can reach the coin to reflect off it into your eyes."
5.1,Easy,"In the box experiment, what happens when you shine the flashlight into the box?","Think about the path of light from the flashlight to the coin to your eye.","The flashlight sends light into the box. The light hits the coin and reflects off it. The reflected light travels through the viewing hole into your eye, so you can see the coin.","You can see the coin because light from the flashlight reflects off the coin into your eye."
5.1,Easy,"Fill in the blank: Light travels from the light ______ to the object.","What do we call something that gives out light?","The thing that gives out light is called a source. Light travels from the source to the object, then reflects into our eyes.","source"
5.1,Easy,"What are the two key vocabulary words for section 5.1?","One word means 'to bounce off' and the other means 'where something comes from'.","Reflect means light bounces off a surface. Source means where the light comes from.","Reflect and source."
5.1,Medium,"At night, a car's headlights are on. Explain how a person standing on the pavement can see the car.","Think about the path light takes: source → object → eyes.","The headlights are the light source. Light travels from the headlights and reflects off the car body. The reflected light enters the person's eyes, allowing them to see the car.","Light from the headlights (source) reflects off the car (object) and enters the person's eyes."
5.1,Medium,"Why can you see the Moon at night even though it is not a source of light?","The Moon does not make its own light, so where does the light come from?","The Moon reflects light from the Sun. Even though the Sun is not visible at night from our location, sunlight still reaches the Moon and bounces off it toward Earth and into our eyes.","The Moon reflects sunlight. The reflected sunlight travels to our eyes so we can see it."
5.1,Medium,"If you are in a dark room and someone turns on a lamp, explain the steps that allow you to see a book on the table.","Think about: source → object → eyes. What is the source, what is the object?","The lamp is the light source. Light travels from the lamp to the book. The light reflects off the book and enters your eyes. That is how you see the book.","Light travels from the lamp (source) to the book (object), reflects off the book, and enters your eyes."
5.1,Medium,"Why can't you see around corners, but you can see objects in a room lit by a lamp even if you are not facing the lamp directly?","Think about how light bounces off walls and objects.","Light from the lamp reflects off walls, the ceiling, and other surfaces in the room. These reflections bounce light in many directions, including toward your eyes, even if you are not looking at the lamp.","Light reflects off many surfaces in the room and reaches your eyes from different directions, even if you are not facing the lamp."
5.1,Medium,"A scientist puts a coin inside a dark box. She can look through a small hole but cannot see the coin. What should she do to see it, and why does this work?","What is missing inside the box?","She should shine a light into the box. The light will travel to the coin, reflect off it, and the reflected light will travel through the viewing hole into her eyes. Without light, nothing can reflect off the coin.","She should shine a flashlight into the box. The light reflects off the coin and into her eye through the viewing hole."
5.2,Easy,"Does light travel in straight lines or curved lines?","Think about sunbeams you see coming through a window.","Scientists have proven that light travels in straight lines. You can see this when sunbeams come through a gap — they always appear as straight lines.","Light travels in straight lines."
5.2,Easy,"What is a ray of light?","Think about a single narrow beam of light.","A ray is each narrow beam of light. Light rays travel from the source of light in all directions in straight lines until they hit something.","A ray is a narrow beam of light that travels in a straight line."
5.2,Easy,"Can light travel around corners?","Think about what happens when you try to see around a wall.","No, light cannot travel around corners because it travels in straight lines. This is why you cannot see around corners.","No, light travels in straight lines and cannot bend around corners."
5.2,Easy,"What is a ray diagram?","Think about a drawing that shows how light moves.","A ray diagram is a drawing that shows how light travels using straight lines for rays and arrows to show the direction the light is moving.","A ray diagram is a drawing that uses straight lines and arrows to show how light travels."
5.2,Easy,"In a ray diagram, what do the arrows show?","The arrows point somewhere — what do they tell you?","In a ray diagram, the arrows show the direction the light is moving — from the source to the object, and from the object to the eye.","The arrows show the direction the light is moving."
5.2,Easy,"What is the difference between an 'arriving ray' and a 'reflected ray'?","Think about what happens before and after light hits an object.","The arriving ray is the light travelling from the source to the object. The reflected ray is the light that bounces off the object and travels to our eyes.","The arriving ray goes from the light source to the object. The reflected ray bounces off the object toward our eyes."
5.2,Easy,"What does 'proof' mean in science?","Think about evidence that shows something is true.","In science, proof is evidence that shows something is true. Scientists use experiments and investigations to find proof for their ideas.","Proof is evidence that shows something is true."
5.2,Easy,"In the tube experiment, can your partner see light through a bent tube? Why?","Think about what happens to a straight line when you bend it.","No, your partner cannot see the light through a bent tube because light travels in straight lines. When the tube is bent, the light cannot follow the curve.","No, because light travels in straight lines and cannot bend to follow the curved tube."
5.2,Medium,"Why can you see a flashlight beam in a dusty room but not in a clean room?","Think about what the light hits in a dusty room.","In a dusty room, light rays hit the tiny dust particles floating in the air. The light reflects off the dust particles and enters your eyes, making the beam visible. In a clean room, there are fewer particles to reflect the light.","Light reflects off dust particles in the air, making the beam visible. In a clean room there are no particles to reflect the light."
