order_index,question,question_type,difficulty,points,is_active,image_url,correct_answer,explanation,hint,option_a,option_b,option_c,option_d,correct_option
1,Look at the number 829. What digit is in the tens place? \n  \n | 100s | 10s | 1s | \n |---|---|---| \n | 8 | 2 | 9 |,fill_blank,1,10,TRUE,,2,The Place Value Table shows the 10s column has a 2.,Look at the second column from the right.,,,,,
2,Look at the number 829. What is the value of the 8 in this number? \n  \n | 100s | 10s | 1s | \n |---|---|---| \n | 8 | 2 | 9 |,fill_blank,1,10,TRUE,,800,"The 8 is in the 100s column, meaning it represents eight hundreds (800).",Check the column header where the digit 8 is placed.,,,,,
3,What is the value of the digit 9 in 950 302?,fill_blank,1,10,TRUE,,900 000,"9 is in the hundred thousands place, so its value is 900 000.","Count the places from right to left: ones, tens, hundreds, thousands, ten thousands, hundred thousands.",,,,,
4,What is the value of the digit 5 in 950 302?,fill_blank,1,10,TRUE,,50 000,"5 is in the ten thousands place, so its value is 50 000.",Look at the 5th digit from the right.,,,,,
5,Mia is thinking of a 5-digit whole number. She says: \n - It has a 2 in the ten thousands place and in the tens place. \n - It has a 5 in the thousands place and in the ones place. \n - It has a 0 in the hundreds place. \n What number is Mia thinking of?,fill_blank,1,10,TRUE,,25025,The ten thousands place is 2. The thousands place is 5. The hundreds place is 0. The tens place is 2. The ones place is 5. Putting it together: 25025.,"Write down five blanks: _ _ , _ _ _ and fill them one by one according to Mia's rules.",,,,,
6,Decompose the number by copying and filling in the missing numbers: \n 805 469 = ___ + 5000 + ___ + ___ + 9,fill_blank,1,10,TRUE,,"800000, 400, 60","805 469 has 8 hundred thousands, 0 ten thousands, 5 thousands, 4 hundreds, 6 tens, and 9 ones. So it is 800000 + 5000 + 400 + 60 + 9.",Expand the number according to the place value of each digit. Ignore zeroes.,,,,,
7,Decompose the number by copying and filling in the missing numbers: \n 689 567 = 600000 + ___ + ___ + 500 + ___ + ___,fill_blank,1,10,TRUE,,"80000, 9000, 60, 7",689 567 expands to 600 000 + 80 000 + 9000 + 500 + 60 + 7.,"Expand based on position value. What does the 8 represent? What about 9, 6 and 7?",,,,,
8,Decompose the number by copying and filling in the missing numbers: \n 508 208 = ___ + ___ + ___ + ___,fill_blank,1,10,TRUE,,"500000, 8000, 200, 8",508 208 = 500 000 + 8000 + 200 + 8. (Since 0 ten thousands and 0 tens are skipped).,Write each non-zero digit with the appropriate number of zeros behind it.,,,,,
9,"Bruno says, 'The largest 5-digit number is 1 less than a hundred thousand.' Is Bruno correct?",fill_blank,1,10,TRUE,,Yes,"A hundred thousand is 100 000 (a 6-digit number). One less is 99 999, which is indeed the largest 5-digit number. So Bruno is correct.","Write down the number for a hundred thousand, then subtract 1 from it. What do you get?",,,,,
10,Which number sentence has a different missing number? \n  \n 1. ___ x 100 = 30 000 \n 2. 3 x 100 = ___ \n 3. 30 000 ÷ 100 = ___ \n 4. ___ ÷ 10 = 30 \n 5. ___ x 100 = 3000 \n 6. ___ x 10 = 3000,multiple_choice,1,10,TRUE,,___ x 100 = 3000,"The missing numbers are: \n 1. 300 \n 2. 300 \n 3. 300 \n 4. 300 \n 5. 30  <- This is the different one. \n 6. 300 \n The different missing number is 30, for the sentence ___ x 100 = 3000.",Solve each equation to find the missing number. Only one of them will give a result other than 300.,___ x 100 = 30 000,3 x 100 = ___,30 000 ÷ 100 = ___,___ ÷ 10 = 30,
